datetime,departures
1371153900,1
1371155220,1
1371155640,1
1371155880,1
1371157020,1
1371157260,1
1371157620,1
1371158100,1
1371159240,2
1371159360,1
1371159660,1
1371159720,1
1371160140,1
1371160320,1
1371160380,1
1371160440,1
1371160800,1
1371160980,1
1371161340,1
1371161760,1
1371161820,1
1371162600,1
1371163320,1
1371163440,1
1371163560,1
1371164040,1
1371164760,1
1371166020,1
1371166140,1
1371168660,1
1371171180,1
1371205080,1
1371206940,1
1371209040,1
1371209220,1
1371210540,1
1371212520,1
1371213660,1
1371214080,1
1371214200,1
1371214440,1
1371214860,2
1371220860,1
1371223200,1
1371223320,2
1371224100,1
1371225060,1
1371226980,1
1371227220,1
1371227580,1
1371227880,1
1371230100,1
1371230640,2
1371231360,1
1371231480,4
1371231540,2
1371231720,1
1371231840,1
1371232440,2
1371232920,1
1371233460,1
1371233760,1
1371234900,2
1371235020,1
1371235380,3
1371235560,1
1371235620,1
1371236460,1
1371237180,1
1371237360,1
1371237480,1
1371237840,1
1371238320,1
1371238440,1
1371239760,1
1371240000,1
1371240840,2
1371241140,1
1371241620,1
1371241980,1
1371242220,3
1371242460,3
1371242580,2
1371242640,2
1371243660,1
1371244080,1
1371244260,2
1371244440,2
1371245880,1
1371246360,2
1371246780,1
1371247140,2
1371248520,2
1371248820,2
1371249000,1
1371249120,1
1371249180,1
1371249360,1
1371249780,1
1371250080,2
1371250140,1
1371250440,1
1371251160,2
1371251400,1
1371251880,1
1371252480,1
1371252600,2
1371253200,2
1371253320,1
1371253440,2
1371253500,1
1371253920,1
1371254340,2
1371254580,2
1371255900,1
1371256020,2
1371256500,1
1371256860,2
1371257520,1
1371257760,1
1371257880,1
1371258420,1
1371258480,1
1371259080,1
1371259260,1
1371259380,1
1371259500,1
1371260580,1
1371261540,1
1371261660,2
1371262380,1
1371262680,1
1371266160,3
1371266760,1
1371269820,1
1371271980,1
1371272040,1
1371272100,1
1371274440,2
1371289860,1
1371290520,1
1371296160,1
1371297120,1
1371297960,1
1371298080,1
1371298980,1
1371299400,2
1371299880,1
1371300000,1
1371301260,1
1371304260,1
1371304320,2
1371305700,1
1371305940,1
1371306060,2
1371306240,1
1371306840,2
1371307200,1
1371307440,2
1371307740,1
1371308700,3
1371309600,1
1371310920,1
1371310980,1
1371311040,2
1371311160,2
1371311280,1
1371311640,1
1371311820,1
1371311940,1
1371312060,1
1371312420,2
1371312900,3
1371313260,5
1371313380,1
1371313680,1
1371313980,4
1371314400,2
1371314760,1
1371314880,1
1371315720,1
1371316380,1
1371316620,1
1371317100,1
1371317340,2
1371317400,1
1371317520,1
1371317640,1
1371317700,1
1371318300,1
1371318720,1
1371318840,1
1371319260,1
1371319440,2
1371319500,2
1371319800,2
1371320040,1
1371320100,1
1371321240,1
1371321720,2
1371321900,1
1371322080,1
1371322140,1
1371322620,2
1371322860,2
1371323040,1
1371323580,1
1371323760,1
1371323940,1
1371324420,3
1371324480,1
1371324780,1
1371324900,2
1371325020,1
1371325500,2
1371325800,1
1371325860,1
1371326100,1
1371326280,1
1371326520,1
1371327120,1
1371327360,2
1371327600,1
1371327720,2
1371327840,2
1371328020,2
1371328080,1
1371328440,1
1371328920,1
1371329100,3
1371329400,1
1371330060,1
1371330300,2
1371330480,1
1371330600,1
1371330840,2
1371331080,1
1371331620,1
1371332040,1
1371332100,1
1371332220,1
1371332460,1
1371332760,1
1371332820,2
1371333000,2
1371333240,2
1371333300,1
1371333600,1
1371333780,1
1371334080,2
1371334140,2
1371334200,1
1371334500,2
1371334680,3
1371335160,3
1371335940,1
1371336000,1
1371336780,1
1371337080,3
1371337140,2
1371337620,2
1371338100,1
1371338220,2
1371338880,1
1371339600,1
1371339720,1
1371340080,1
1371340440,1
