datetime,departures
1371150480,1
1371152580,1
1371155280,2
1371156480,1
1371157020,1
1371158340,1
1371158700,1
1371159240,1
1371159540,1
1371160500,1
1371162660,1
1371163080,1
1371165480,3
1371167280,5
1371167340,4
1371167460,3
1371167580,2
1371200220,1
1371202800,1
1371205020,1
1371208260,1
1371209520,1
1371212400,1
1371212640,1
1371212880,2
1371213960,1
1371214140,1
1371214740,1
1371215220,1
1371215520,2
1371216060,1
1371216360,1
1371217680,1
1371219600,2
1371220920,1
1371221820,1
1371224340,1
1371225000,1
1371225840,1
1371225960,1
1371227160,2
1371227700,1
1371229560,1
1371229920,1
1371231660,2
1371232140,1
1371232740,1
1371232920,1
1371233580,1
1371234240,2
1371234360,1
1371234420,1
1371235260,1
1371236700,1
1371236820,1
1371237540,1
1371238920,1
1371239280,1
1371239400,1
1371239880,1
1371240120,1
1371240540,1
1371242100,1
1371243480,2
1371243720,1
1371243780,2
1371245160,2
1371247080,1
1371248160,1
1371248880,1
1371250740,1
1371251220,1
1371251520,2
1371251640,2
1371251760,1
1371251880,1
1371252960,1
1371253020,1
1371253320,1
1371253920,1
1371254220,1
1371254580,1
1371255480,2
1371255780,1
1371255900,1
1371256680,3
1371256800,1
1371259560,1
1371260880,1
1371262020,1
1371263100,1
1371264420,1
1371267720,1
1371268320,1
1371270420,1
1371270660,1
1371275700,5
1371275760,3
1371275820,2
1371275880,3
1371276000,1
1371276180,1
1371292200,1
1371296160,1
1371296280,1
1371297000,1
1371298500,1
1371298860,1
1371299100,1
1371299460,1
1371299940,1
1371301080,1
1371302880,2
1371303180,1
1371303660,1
1371304320,1
1371304980,1
1371305040,2
1371305580,2
1371305700,1
1371305880,1
1371305940,1
1371306060,1
1371306180,1
1371306780,1
1371306840,1
1371307080,1
1371307260,1
1371308100,1
1371308160,3
1371308340,1
1371308580,1
1371308940,2
1371309420,2
1371309540,1
1371310200,1
1371310440,1
1371310800,1
1371310980,1
1371311160,1
1371311280,2
1371311580,1
1371312180,1
1371312360,2
1371312900,2
1371313260,2
1371313740,3
1371315060,1
1371315300,1
1371315600,1
1371315720,2
1371315900,1
1371316020,3
1371316200,1
1371316380,3
1371316920,3
1371317040,1
1371317340,2
1371318480,1
1371318600,1
1371318840,2
1371319320,1
1371319620,1
1371319800,3
1371320220,2
1371320340,2
1371320580,3
1371320760,1
1371320820,1
1371321180,2
1371321240,2
1371321600,2
1371321720,1
1371321840,1
1371321960,2
1371322200,1
1371322380,2
1371322500,1
1371323040,1
1371323100,1
1371323640,1
1371324000,1
1371324240,2
1371324540,1
1371324720,3
1371324780,1
1371324900,2
1371325440,1
1371325920,1
1371326640,3
1371326880,1
1371327060,3
1371327300,1
1371327840,1
1371327900,1
1371328080,2
1371328260,1
1371328320,1
1371328440,2
1371328560,1
1371328620,1
1371328680,1
1371329040,1
1371329100,2
1371329820,2
1371329940,2
1371330180,2
1371330900,4
1371331380,1
1371331680,1
1371332040,1
1371332220,1
1371332460,1
1371332580,2
1371332880,1
1371333060,1
1371333180,1
1371333300,1
1371333720,1
1371333840,1
1371334260,2
1371334440,1
1371334680,1
1371334860,1
1371334980,1
1371335340,2
1371335760,1
1371336060,1
1371336480,5
1371336540,1
1371336960,2
1371337380,1
1371337620,2
1371338220,1
1371338700,2
1371339120,1
1371339900,3
1371340080,1
1371340200,1
1371341220,1
1371341520,1
1371341880,2
1371342240,4
1371342360,1
1371343380,2
1371343800,1
1371344520,1
1371344820,1
1371345120,2
1371345180,1
1371345540,2
1371345840,2
1371346380,2
1371347940,1
1371348300,1
1371348420,1
1371348720,1
1371349320,1
1371349440,1
1371350880,1
1371354240,1
1371356940,1
1371358380,1
1371358680,2
1371358920,2
1371361500,1
1371373560,1
1371378600,1
1371378660,1
1371379740,1
1371379800,1
1371380040,1
1371381060,1
1371381480,1
1371384120,1
1371385020,1
1371385260,1
1371385920,2
1371385980,1
1371387300,1
1371388980,1
1371389880,1
1371390120,1
1371390480,1
1371390600,1
1371390780,1
1371390900,1
1371391140,1
1371391800,2
1371392040,1
1371392280,1
1371392880,1
1371393180,1
1371393240,1
1371393660,1
1371393840,1
1371393900,1
1371394440,1
1371395640,1
1371396000,1
1371396420,2
1371396540,1
1371396840,1
1371396960,4
1371397320,1
1371397440,1
1371397680,3
1371397800,2
1371398340,1
1371398400,1
1371398760,1
1371399240,2
1371399660,3
1371399960,1
1371400020,1
1371400380,1
1371400680,1
1371400860,3
1371401160,3
1371401280,1
1371401340,1
1371401460,1
1371402600,3
1371402720,1
1371403200,1
1371403380,2
1371403740,2
1371403860,1
1371404940,1
1371405000,1
1371405300,1
1371405420,1
1371405840,1
1371406140,2
1371406800,1
1371407160,1
1371407220,1
1371407580,3
1371407880,1
1371407940,2
1371408960,1
1371409080,2
1371410820,2
1371411120,1
1371411420,5
1371411720,1
1371411900,2
1371412500,4
1371412680,1
1371412740,2
1371412860,2
1371413220,1
1371413520,1
1371413820,2
1371414420,3
1371414840,2
1371414960,1
1371415200,1
1371415560,1
1371415740,1
1371415920,1
1371415980,4
1371416160,2
1371416400,1
1371416520,1
1371416640,1
1371416700,1
1371416760,1
1371417060,4
1371417540,1
1371417660,1
1371418020,1
1371418080,1
1371418320,1
1371418440,1
1371419040,1
1371419280,1
1371419580,1
1371419880,2
1371420180,2
1371420840,1
1371420900,1
1371420960,1
1371421500,2
1371421620,1
1371421740,2
1371421980,3
1371422100,2
1371422160,1
1371422460,1
1371423120,1
1371424080,1
1371424140,1
1371424260,1
1371425100,1
1371425280,1
1371425880,1
1371425940,3
1371427560,1
1371428520,3
1371428820,1
1371428880,1
1371429060,1
1371429360,1
1371429480,1
1371429780,1
1371430020,1
1371430140,1
1371430680,1
1371432420,1
1371434880,1
1371436500,2
1371436740,1
1371437700,2
1371444240,1
1371461400,1
1371461940,1
1371463740,1
1371464220,1
1371465780,1
1371465900,1
1371467460,2
1371467940,1
1371468240,1
1371468600,1
1371470760,1
1371471360,1
1371471540,1
1371471600,1
1371472020,1
1371472860,1
1371473160,2
1371473460,1
1371473580,2
1371473940,1
1371474420,1
1371475560,1
1371476100,1
1371476400,1
1371476520,1
1371477060,1
1371478200,1
1371478680,1
1371480060,1
1371480960,3
1371481080,2
1371482460,1
1371482760,1
1371483600,1
1371483900,2
1371485520,2
1371487080,1
1371488460,2
1371489780,1
1371490200,1
1371490380,1
1371490980,1
1371491100,1
1371491880,1
1371495660,2
1371496200,1
1371496380,1
1371496440,1
1371499980,1
1371500160,2
1371501000,1
1371501300,1
1371502080,1
1371502980,1
1371503700,1
1371504420,1
1371505500,1
1371506460,1
1371507120,1
1371507540,1
1371507780,1
1371508080,1
1371508320,2
1371509220,1
1371510180,1
1371510240,4
1371511320,2
1371511920,1
1371512280,2
1371512640,1
1371512880,1
1371512940,2
1371513420,1
1371513480,3
1371513720,1
1371513900,1
1371514020,1
1371515880,1
1371516720,1
1371517020,2
1371518400,2
1371518640,1
1371519180,1
1371521760,1
1371526860,9
1371526980,2
1371528660,2
1371548460,1
1371550500,1
1371551040,1
1371552180,1
1371553440,1
1371553980,3
1371554220,2
1371554580,2
1371555240,1
1371556740,2
1371557820,1
1371558300,1
1371558420,1
1371558780,1
1371558960,1
1371559020,1
1371559200,1
1371559380,1
1371560280,1
1371560460,1
1371560640,1
1371560760,1
1371561180,1
1371561360,1
1371562260,1
1371564720,1
1371565680,2
1371565740,1
1371565920,1
1371566040,1
1371566100,1
1371566640,1
1371567180,1
1371567900,1
1371568800,1
1371568980,1
1371569880,3
1371569940,1
1371571020,1
1371572100,2
1371572580,1
1371573300,1
1371573600,1
1371574920,1
1371576600,1
1371576660,1
1371576720,1
1371577140,1
1371578760,2
1371581220,1
1371581280,2
1371581520,1
1371582300,1
1371582360,1
1371583560,1
1371584160,1
1371584520,1
1371584760,1
1371584820,1
1371584940,1
1371585000,1
1371590880,1
1371591120,1
1371592680,1
1371595680,1
1371596040,1
1371598260,1
1371599820,1
1371600060,1
1371602820,1
1371603960,1
1371604800,2
1371605700,1
1371616260,1
1371625560,5
1371625620,2
1371625740,4
1371625800,1
1371625860,1
1371626520,1
1371635040,1
1371637740,1
1371638040,1
1371640140,1
1371640500,1
1371640740,1
1371641100,1
1371641460,1
1371641700,1
1371642180,2
1371642300,1
1371642660,1
1371642720,1
1371643140,2
1371643200,1
1371643980,1
1371644040,1
1371644100,1
1371644340,1
1371644520,1
1371644580,1
1371645240,1
1371645660,1
1371645960,1
1371646080,1
1371646740,1
1371646800,1
1371646860,1
1371647940,1
1371648480,1
1371649140,2
1371649200,2
1371649260,1
1371649800,1
1371651480,1
1371653520,1
1371654660,2
1371655860,1
1371656520,1
1371656880,1
1371657000,1
1371657540,1
1371658380,1
1371658500,1
1371658800,1
1371659280,2
1371659820,1
1371660180,1
1371660420,1
1371661200,1
1371661500,1
1371661740,1
1371662220,1
1371663000,1
1371663060,1
1371663300,3
1371664140,1
1371664200,1
1371664440,2
1371664860,1
1371665340,1
1371666300,2
1371666600,1
1371666660,2
1371666720,1
1371666840,2
1371667080,1
1371667200,1
1371667680,1
1371668160,2
1371668880,1
1371670620,1
1371671340,3
1371672180,1
1371672360,2
1371672960,1
1371674340,1
1371674820,1
1371675600,1
1371677040,1
1371677400,1
1371678480,1
1371678960,1
1371679080,2
1371679260,2
1371679380,1
1371679500,1
1371679680,2
