datetime, temp, humidity, windspeed, visibility, rain, snow
2013-07-23 00:06:00,75.9,94,3.5,3.0,0,0
2013-07-23 00:24:00,75.9,94,4.6,3.0,0,0
2013-07-23 00:33:00,75.9,94,3.5,2.5,0,0
2013-07-23 00:51:00,75.9,94,3.5,3.0,0,0
2013-07-23 01:51:00,75.0,94,3.5,5.0,0,0
2013-07-23 02:28:00,75.0,94,4.6,2.5,0,0
2013-07-23 02:51:00,75.9,91,3.5,2.5,1,0
2013-07-23 03:01:00,75.9,94,0.0,3.0,1,0
2013-07-23 03:08:00,75.9,94,0.0,2.0,1,0
2013-07-23 03:17:00,75.9,94,3.5,1.8,1,0
2013-07-23 03:36:00,75.9,94,0.0,1.5,1,0
2013-07-23 03:46:00,75.2,94,3.5,1.5,1,0
2013-07-23 03:51:00,75.9,94,3.5,1.5,1,0
2013-07-23 04:46:00,75.2,94,0.0,1.2,1,0
2013-07-23 04:51:00,75.9,94,3.5,1.5,1,0
2013-07-23 04:59:00,75.0,96,4.6,2.0,1,0
2013-07-23 05:05:00,75.0,96,4.6,3.0,0,0
2013-07-23 05:14:00,75.0,96,5.8,2.5,1,0
2013-07-23 05:17:00,75.0,94,8.1,3.0,1,0
2013-07-23 05:24:00,75.0,94,-9999.0,6.0,0,0
2013-07-23 05:37:00,73.9,97,4.6,5.0,0,0
2013-07-23 05:46:00,73.4,94,4.6,5.0,0,0
2013-07-23 05:51:00,73.9,93,4.6,5.0,0,0
2013-07-23 06:51:00,73.0,93,0.0,9.0,0,0
2013-07-23 07:44:00,73.0,90,5.8,10.0,0,0
2013-07-23 07:51:00,73.9,91,5.8,10.0,0,0
2013-07-23 08:46:00,75.2,83,4.6,10.0,0,0
2013-07-23 08:51:00,75.0,87,3.5,10.0,0,0
2013-07-23 09:51:00,75.9,85,6.9,10.0,0,0
2013-07-23 10:27:00,78.1,76,8.1,10.0,0,0
2013-07-23 10:51:00,79.0,77,3.5,10.0,0,0
2013-07-23 11:32:00,82.0,69,0.0,10.0,0,0
2013-07-23 11:51:00,82.0,71,0.0,10.0,0,0
2013-07-23 12:19:00,84.0,65,4.6,10.0,0,0
2013-07-23 12:51:00,84.9,65,-9999.0,10.0,0,0
2013-07-23 13:51:00,84.9,63,8.1,10.0,0,0
2013-07-23 14:51:00,84.9,59,-9999.0,10.0,0,0
2013-07-23 15:51:00,84.9,55,10.4,10.0,0,0
2013-07-23 16:51:00,84.9,59,4.6,10.0,0,0
2013-07-23 17:51:00,84.0,61,5.8,10.0,0,0
2013-07-23 18:51:00,84.0,58,0.0,10.0,0,0
2013-07-23 19:51:00,82.0,62,3.5,10.0,0,0
2013-07-23 20:51:00,80.1,69,3.5,10.0,0,0
2013-07-23 21:51:00,80.1,69,5.8,10.0,0,0
2013-07-23 22:51:00,81.0,65,5.8,10.0,0,0
2013-07-23 23:51:00,79.0,69,3.5,10.0,0,0
